year,category,amount,source_file
2023,2.國防支出,392516828,112C歲入歲出簡明比較分析表.xls
2023,3.教育科學文化支出,486347542,112C歲入歲出簡明比較分析表.xls
2023,4.經濟發展支出,474899778,112C歲入歲出簡明比較分析表.xls
2023,5.社會福利支出,712969785,112C歲入歲出簡明比較分析表.xls
2023,6.社區發展及環境保護支出,28619455,112C歲入歲出簡明比較分析表.xls
2023,7.退休撫卹支出,148246501,112C歲入歲出簡明比較分析表.xls
2023,8.債務支出,107582940,112C歲入歲出簡明比較分析表.xls
2023,9.補助及其他支出,102150725,112C歲入歲出簡明比較分析表.xls
2024,1.稅課收入,2314020000,C歲入歲出簡明比較分析表.xlsx
2024,2.營業盈餘及事業收入,287180735,C歲入歲出簡明比較分析表.xlsx
2024,3.規費及罰款收入,80319401,C歲入歲出簡明比較分析表.xlsx
2024,4.財產收入,31492603,C歲入歲出簡明比較分析表.xlsx
2024,5.其他收入,12440827,C歲入歲出簡明比較分析表.xlsx
2024,1.一般政務支出,248627160,C歲入歲出簡明比較分析表.xlsx
2024,2.國防支出,426373146,C歲入歲出簡明比較分析表.xlsx
2024,3.教育科學文化支出,548921128,C歲入歲出簡明比較分析表.xlsx
2024,4.經濟發展支出,427704619,C歲入歲出簡明比較分析表.xlsx
2024,5.社會福利支出,789721971,C歲入歲出簡明比較分析表.xlsx
2024,6.社區發展及環境保護支出,28640137,C歲入歲出簡明比較分析表.xlsx
2024,7.退休撫卹支出,173502099,C歲入歲出簡明比較分析表.xlsx
2024,8.債務支出,107313876,C歲入歲出簡明比較分析表.xlsx
2024,9.補助及其他支出,101051738,C歲入歲出簡明比較分析表.xlsx
2025,1.稅課收入,2784492288,C歲入歲出簡明比較分析表.xlsx
2025,2.營業盈餘及事業收入,256106997,C歲入歲出簡明比較分析表.xlsx
2025,3.規費及罰款收入,81876645,C歲入歲出簡明比較分析表.xlsx
2025,4.財產收入,29839219,C歲入歲出簡明比較分析表.xlsx
2025,5.其他收入,12489198,C歲入歲出簡明比較分析表.xlsx
2025,1.一般政務支出,265002380,C歲入歲出簡明比較分析表.xlsx
2025,2.國防支出,459075411,C歲入歲出簡明比較分析表.xlsx
2025,3.教育科學文化支出,582881778,C歲入歲出簡明比較分析表.xlsx
2025,4.經濟發展支出,416925051,C歲入歲出簡明比較分析表.xlsx
2025,5.社會福利支出,815475871,C歲入歲出簡明比較分析表.xlsx
2025,6.社區發展及環境保護支出,29366043,C歲入歲出簡明比較分析表.xlsx
2025,7.退休撫卹支出,181138442,C歲入歲出簡明比較分析表.xlsx
2025,8.債務支出,106307862,C歲入歲出簡明比較分析表.xlsx
2025,9.補助及其他支出,68793725,C歲入歲出簡明比較分析表.xlsx
